x,y,Actual,Predicted,p_ADM,p_PanIN_LG,p_PanIN_HG,p_Other,Conf,Refined,Tuned
12190,22936,ADM,PanIN_LG,0.2147386074066162,0.6156637668609619,0.1464596688747406,0.0231378842145204,0.6156637668609619,ADM,ADM
11678,22936,ADM,ADM,0.4946005642414093,0.2574431300163269,0.0996432304382324,0.1483130902051925,0.4946005642414093,ADM,ADM
27012,6984,ADM,PanIN_LG,0.3347227871417999,0.450452983379364,0.0981398224830627,0.1166844069957733,0.450452983379364,ADM,ADM
27012,5960,ADM,ADM,0.5403609275817871,0.2974672317504883,0.08748559653759,0.0746862515807151,0.5403609275817871,PanIN_LG,ADM
23940,12872,ADM,ADM,0.5128989219665527,0.3320247530937195,0.0838947892189025,0.0711815059185028,0.5128989219665527,ADM,ADM
10910,26264,ADM,ADM,0.5608738660812378,0.2279276847839355,0.0860837996006012,0.1251147389411926,0.5608738660812378,ADM,ADM
11422,21912,ADM,PanIN_HG,0.1808739900588989,0.331753134727478,0.3658598661422729,0.1215129941701889,0.3658598661422729,ADM,PanIN_HG
9118,23192,ADM,ADM,0.5323472023010254,0.2878575325012207,0.0764740109443664,0.103321261703968,0.5323472023010254,Other,ADM
25220,7752,ADM,ADM,0.5328535437583923,0.2769668102264404,0.0799937844276428,0.1101859286427497,0.5328535437583923,ADM,ADM
10910,24728,ADM,ADM,0.4716474115848541,0.2958982288837433,0.0801874101161956,0.1522669792175293,0.4716474115848541,ADM,ADM
22148,8264,ADM,ADM,0.4857256710529327,0.3107814788818359,0.0837513357400894,0.1197415292263031,0.4857256710529327,PanIN_LG,ADM
23684,18504,ADM,ADM,0.358272910118103,0.3341597318649292,0.1445252895355224,0.1630420237779617,0.358272910118103,PanIN_LG,ADM
23428,11336,ADM,ADM,0.5726351737976074,0.2591207027435303,0.1184560507535934,0.0497880838811397,0.5726351737976074,ADM,ADM
11166,26008,ADM,ADM,0.4941349029541015,0.3223857879638672,0.0775912478566169,0.1058880388736724,0.4941349029541015,ADM,ADM
23428,12872,ADM,ADM,0.4890897870063782,0.2074930667877197,0.0905505940318107,0.2128665745258331,0.4890897870063782,ADM,ADM
