x,y,Actual,Predicted,p_ADM,p_PanIN_LG,p_PanIN_HG,p_Other,Conf,Refined
23938,8139,ADM,ADM,0.5026017427444458,0.28106799721717834,0.17335548996925354,0.04297478497028351,0.5026017427444458,ADM
23426,11979,ADM,ADM,0.457608163356781,0.25543200969696045,0.16875727474689484,0.1182025671005249,0.457608163356781,PanIN_LG
9934,25699,ADM,ADM,0.44892680644989014,0.27386149764060974,0.14309349656105042,0.1341182142496109,0.44892680644989014,ADM
14542,17763,ADM,Other,0.13498184084892273,0.2855716347694397,0.19172663986682892,0.38771986961364746,0.38771986961364746,PanIN_LG
32642,8907,ADM,ADM,0.4843336343765259,0.2993023991584778,0.18758869171142578,0.028775308281183243,0.4843336343765259,ADM
9166,17763,ADM,ADM,0.4719303250312805,0.2734220623970032,0.17402708530426025,0.08062055706977844,0.4719303250312805,ADM
24706,19403,ADM,ADM,0.5328413844108582,0.2791968286037445,0.13696599006652832,0.05099579691886902,0.5328413844108582,PanIN_LG
33922,10443,ADM,Other,0.15358182787895203,0.3166179060935974,0.19960039854049683,0.33019983768463135,0.33019983768463135,Other
35970,27595,ADM,ADM,0.5188658237457275,0.29407644271850586,0.15902185440063477,0.028035877272486687,0.5188658237457275,ADM
26242,5835,ADM,ADM,0.4569151699542999,0.31400561332702637,0.14304715394973755,0.08603206276893616,0.4569151699542999,PanIN_LG
10446,18531,ADM,ADM,0.35623642802238464,0.3114249110221863,0.13815629482269287,0.194182351231575,0.35623642802238464,PanIN_LG
17614,14947,ADM,ADM,0.48571163415908813,0.2679901719093323,0.1763908565044403,0.06990732252597809,0.48571163415908813,ADM
27266,23499,ADM,PanIN_LG,0.1456925868988037,0.3610287308692932,0.23744049668312073,0.25583815574645996,0.3610287308692932,PanIN_LG
14286,19555,ADM,ADM,0.41599392890930176,0.2622053027153015,0.13035783171653748,0.19144290685653687,0.41599392890930176,PanIN_LG
7374,16995,ADM,ADM,0.4253619313240051,0.3888099193572998,0.15990358591079712,0.025924552232027054,0.4253619313240051,PanIN_LG
10702,25443,ADM,ADM,0.5178261995315552,0.2806469202041626,0.14619573950767517,0.05533115938305855,0.5178261995315552,ADM
10190,18531,ADM,ADM,0.4740573763847351,0.28045839071273804,0.1541900634765625,0.09129418432712555,0.4740573763847351,ADM
4046,16995,ADM,ADM,0.2960743308067322,0.2680891752243042,0.20987585186958313,0.22596068680286407,0.2960743308067322,PanIN_LG
29314,11211,ADM,ADM,0.44859176874160767,0.26650285720825195,0.15824726223945618,0.1266581416130066,0.44859176874160767,ADM
22914,12235,ADM,PanIN_HG,0.2491552233695984,0.27357569336891174,0.2807585597038269,0.19651050865650177,0.2807585597038269,ADM
23170,7883,ADM,ADM,0.4810468852519989,0.248777836561203,0.12736615538597107,0.14280915260314941,0.4810468852519989,ADM
26242,7115,ADM,ADM,0.48771095275878906,0.27676400542259216,0.1585187315940857,0.07700635492801666,0.48771095275878906,ADM
24962,18891,ADM,ADM,0.4117150902748108,0.26845836639404297,0.1631743311882019,0.15665218234062195,0.4117150902748108,ADM
32642,8139,ADM,ADM,0.5267809629440308,0.29381561279296875,0.155836284160614,0.02356717735528946,0.5267809629440308,ADM
36226,30155,ADM,ADM,0.5361671447753906,0.28804588317871094,0.15106172859668732,0.02472527325153351,0.5361671447753906,ADM
12494,17763,ADM,ADM,0.4527532458305359,0.23474453389644623,0.2446873039007187,0.0678148940205574,0.4527532458305359,PanIN_LG
23426,13003,ADM,Other,0.11187347769737244,0.33356136083602905,0.19768378138542175,0.356881320476532,0.356881320476532,PanIN_LG
32386,8395,ADM,ADM,0.5304015874862671,0.2890758812427521,0.1466473937034607,0.033875156193971634,0.5304015874862671,ADM
9166,18275,ADM,ADM,0.45709651708602905,0.27202707529067993,0.14686095714569092,0.12401547282934189,0.45709651708602905,ADM
33410,9675,ADM,ADM,0.5092517137527466,0.3016691207885742,0.13917407393455505,0.04990506172180176,0.5092517137527466,ADM
15054,18275,ADM,Other,0.1695197969675064,0.2832932472229004,0.16498278081417084,0.38220417499542236,0.38220417499542236,Other
10446,18019,ADM,ADM,0.49012190103530884,0.27570220828056335,0.13150346279144287,0.10267245769500732,0.49012190103530884,ADM
23938,6347,ADM,ADM,0.5208157300949097,0.27820515632629395,0.15346422791481018,0.047514937818050385,0.5208157300949097,ADM
14286,14435,ADM,ADM,0.49585437774658203,0.3371906280517578,0.15222883224487305,0.01472616195678711,0.49585437774658203,ADM
12035,36349,ADM,PanIN_LG,0.2752077579498291,0.29743027687072754,0.1330229640007019,0.29433906078338623,0.29743027687072754,ADM
27010,7627,ADM,PanIN_LG,0.16890566051006317,0.3955899477005005,0.25410714745521545,0.1813972443342209,0.3955899477005005,ADM
29314,11467,ADM,ADM,0.5039466619491577,0.30098092555999756,0.13208790123462677,0.06298453360795975,0.5039466619491577,ADM
12291,35325,ADM,ADM,0.48616117238998413,0.26327160000801086,0.15844999253749847,0.09211725741624832,0.48616117238998413,ADM
23426,8395,ADM,Other,0.2523351311683655,0.292887806892395,0.1580931693315506,0.2966839075088501,0.2966839075088501,ADM
8654,24419,ADM,ADM,0.5241661071777344,0.3046320676803589,0.13939441740512848,0.031807463616132736,0.5241661071777344,ADM
6094,15459,ADM,ADM,0.5204190611839294,0.28187859058380127,0.13961246609687805,0.05808994174003601,0.5204190611839294,ADM
35714,27339,ADM,ADM,0.523213267326355,0.27568355202674866,0.14156267046928406,0.059540461748838425,0.523213267326355,ADM
8142,23907,ADM,ADM,0.4065837860107422,0.26172196865081787,0.12191884219646454,0.20977535843849182,0.4065837860107422,ADM
24706,7627,ADM,Other,0.2560898959636688,0.2591420114040375,0.2148720920085907,0.2698960304260254,0.2698960304260254,ADM
6350,15715,ADM,ADM,0.3438456654548645,0.27805477380752563,0.15475042164325714,0.22334910929203033,0.3438456654548645,ADM
23426,12491,ADM,Other,0.15079575777053833,0.29850006103515625,0.19668051600456238,0.35402369499206543,0.35402369499206543,ADM
27522,21963,ADM,ADM,0.39623862504959106,0.2502341866493225,0.21841062605381012,0.13511662185192108,0.39623862504959106,ADM
14798,18531,ADM,ADM,0.4113122820854187,0.27189645171165466,0.14051690697669983,0.1762743890285492,0.4113122820854187,PanIN_LG
29314,22219,ADM,ADM,0.44033968448638916,0.2781383991241455,0.16738024353981018,0.11414166539907455,0.44033968448638916,PanIN_LG
7886,26723,ADM,ADM,0.43759793043136597,0.2534727156162262,0.24269266426563263,0.0662367045879364,0.43759793043136597,Other
11470,21347,ADM,Other,0.21955366432666779,0.2746952474117279,0.1364891678094864,0.3692619800567627,0.3692619800567627,PanIN_LG
14286,13667,ADM,ADM,0.4879770576953888,0.27021336555480957,0.16388121247291565,0.07792840898036957,0.4879770576953888,ADM
28546,32715,ADM,PanIN_HG,0.1571500301361084,0.24622976779937744,0.3218495547771454,0.2747706472873688,0.3218495547771454,PanIN_LG
13774,21603,ADM,ADM,0.41481494903564453,0.31515493988990784,0.21381738781929016,0.05621274560689926,0.41481494903564453,PanIN_LG
23170,11723,ADM,ADM,0.500216007232666,0.28671327233314514,0.1574041098356247,0.055666618049144745,0.500216007232666,PanIN_LG
25218,6091,ADM,ADM,0.5052722692489624,0.3001205027103424,0.16922138631343842,0.025385849177837372,0.5052722692489624,ADM
12238,17507,ADM,PanIN_HG,0.15842123329639435,0.2653157114982605,0.47327184677124023,0.10299114882946014,0.47327184677124023,PanIN_LG
25474,4555,ADM,PanIN_HG,0.052311550825834274,0.26217782497406006,0.6480587720870972,0.0374518558382988,0.6480587720870972,ADM
14542,24931,ADM,ADM,0.42677658796310425,0.24129049479961395,0.172063946723938,0.15986895561218262,0.42677658796310425,ADM
23170,11467,ADM,ADM,0.515698254108429,0.3046603500843048,0.14194077253341675,0.037700582295656204,0.515698254108429,PanIN_LG
10702,25187,ADM,ADM,0.4966360330581665,0.26655614376068115,0.1786978542804718,0.058109987527132034,0.4966360330581665,ADM
17358,14691,ADM,ADM,0.5299590229988098,0.30548131465911865,0.13773202896118164,0.026827611029148102,0.5299590229988098,ADM
17614,12643,ADM,ADM,0.4513767659664154,0.2690632939338684,0.145510733127594,0.1340492218732834,0.4513767659664154,PanIN_LG
36226,29899,ADM,ADM,0.3303884267807007,0.2612271308898926,0.1687769889831543,0.23960748314857483,0.3303884267807007,ADM
33154,9675,ADM,ADM,0.46636390686035156,0.26095473766326904,0.1409887969493866,0.1316925585269928,0.46636390686035156,ADM
35458,16843,ADM,Other,0.22434267401695251,0.2737428843975067,0.16942822933197021,0.33248621225357056,0.33248621225357056,PanIN_LG
29058,9163,ADM,ADM,0.33456361293792725,0.29274991154670715,0.13347649574279785,0.23920996487140656,0.33456361293792725,ADM
29314,32203,ADM,PanIN_LG,0.14847874641418457,0.349611759185791,0.20428968966007233,0.2976197898387909,0.349611759185791,PanIN_LG
11523,33789,ADM,ADM,0.49872082471847534,0.2886466979980469,0.15681257843971252,0.05581993609666824,0.49872082471847534,ADM
16409,4345,ADM,Other,0.15924414992332458,0.33451882004737854,0.14878280460834503,0.35745424032211304,0.35745424032211304,Other
27522,23243,ADM,PanIN_LG,0.15965288877487183,0.4146569073200226,0.20260722935199738,0.2230830043554306,0.4146569073200226,PanIN_LG
24450,7627,ADM,ADM,0.32807713747024536,0.2724945843219757,0.15519578754901886,0.24423253536224365,0.32807713747024536,ADM
13337,6137,ADM,ADM,0.3757094740867615,0.24676422774791718,0.13122645020484924,0.2462998777627945,0.3757094740867615,Other
12494,17507,ADM,ADM,0.4326249361038208,0.28874659538269043,0.2031954675912857,0.07543297857046127,0.4326249361038208,PanIN_LG
